arraySize;tInsSort;tSelSort;tMergeSort;tQuickSort
50;34.532595;476.400807;35.024298;144.847682
100;3.609401;427.046202;1.214797;29.807298
150;4.308702;370.333308;1.184006;53.454776
200;5.927031;381.583704;1.225526;33.145189
250;7.912971;534.133028;1.986874;135.807618
300;9.189814;440.534454;1.744287;73.783956
350;7.424534;301.550358;0.969411;32.988442
400;11.458927;380.785037;1.192404;20.459803
450;12.059327;391.608574;1.208731;26.884136
500;16.393221;576.326678;1.286173;13.060462
550;21.407755;434.592961;1.197069;11.814875
600;18.078727;371.90312;1.230658;23.574235
650;14.520643;413.447387;1.832458;28.705398
700;15.581957;425.269726;2.304101;19.695191
750;16.595686;418.259455;1.847386;10.934101
800;17.07013;389.671618;1.92856;14.816878
850;20.947774;414.302502;1.27451;3.317364
900;21.425016;372.678929;1.200334;2.501902
950;17.862733;369.579892;1.205466;1.766213
1000;18.498588;372.292191;1.483507;2.060582
1050;31.718596;416.954154;1.240921;1.673844
1100;28.574307;424.269991;1.248386;1.704634
1150;16.111448;374.28233;2.837791;2.681509
1200;25.218689;384.090739;2.135224;2.228993
1250;16.613881;376.472136;1.244654;1.727959
1300;15.771361;369.977826;1.218995;1.667779
1350;16.653535;373.608687;1.188672;1.677576
1400;16.294787;363.423804;1.238588;1.732158
1450;20.737844;394.324605;2.232725;6.376282
1500;17.57956;401.131477;1.302034;1.769478
1550;18.73231;428.97756;1.186806;2.862049
1600;25.392698;393.856694;1.259115;1.651918
1650;17.044938;358.231529;1.195203;1.649585
1700;15.758298;363.731235;1.217596;1.700902
1750;15.742438;364.904046;1.202667;1.678509
1800;29.734055;499.28787;2.035857;2.630659
1850;24.747046;426.79102;2.083908;2.63859
1900;21.209021;461.430446;1.85625;1.874444
1950;16.048935;385.417031;1.232524;1.680375
2000;43.71961;582.535948;3.085042;7.214137
2050;15.594087;340.820379;1.044053;1.429858
2100;13.216277;439.028555;1.177476;1.63419
2150;16.876526;407.346812;1.203134;1.768079
2200;37.27895;551.120584;1.588472;2.493971
2250;19.721315;455.787988;1.714431;2.194471
2300;16.382024;417.088976;1.219462;1.728892
2350;27.962711;425.303781;1.292704;1.706966
2400;17.52078;382.58997;1.219928;1.897303
2450;28.057412;457.210381;1.200801;1.639788
2500;28.82669;428.440606;1.228791;1.959349
2550;24.693397;424.019941;2.35915;3.373812
2600;25.035817;501.257949;1.913164;2.738891
2650;24.295462;327.637225;2.046121;2.277044
2700;37.022834;568.798112;2.327894;2.726295
2750;21.719851;394.124472;1.580542;1.663114
2800;26.53985;277.597782;1.353351;1.662181
2850;19.763768;439.493667;2.079243;2.46598
2900;26.376105;474.564617;3.181143;1.721895
2950;26.261809;521.529748;5.081245;3.746089
3000;14.745502;355.981543;1.469512;1.765747
3050;19.782428;392.954927;1.18214;1.808665
3100;24.971905;542.708445;2.453852;2.541556
3150;20.576897;471.037322;4.510702;2.177677
3200;15.5521;329.595642;1.272177;1.979876
3250;22.652408;514.133671;1.942555;3.297305
3300;33.97558;372.886061;1.535757;1.441054
3350;16.890989;309.612147;0.95355;1.236722
3400;21.659204;275.244697;0.887305;1.131758
3450;15.680858;330.361653;1.597803;1.71723
3500;12.098981;293.206797;1.962614;2.496771
3550;29.041753;418.469385;1.265646;1.683174
3600;19.672331;371.604086;1.295037;1.661714
3650;20.067001;366.878789;1.188672;1.74662
3700;26.843083;439.135853;1.22366;1.659382
3750;19.384961;372.236677;1.575877;1.971945
3800;19.054204;426.306781;1.170944;1.653784
3850;20.191093;379.248813;1.282441;1.69857
3900;21.850008;396.580656;1.268912;1.681775
3950;21.025216;370.015148;1.2022;1.65425
4000;19.839343;370.12851;1.295969;1.83759
4050;19.58696;369.00515;1.254917;1.810999
4100;19.91865;381.477806;1.232991;1.706033
4150;20.045075;363.643998;1.27451;1.667313
4200;20.245208;376.511789;1.21293;1.664514
4250;20.177097;362.830868;1.179808;1.745686
4300;22.161171;366.158962;1.174677;1.668712
4350;22.302058;361.116903;1.232991;1.654717
4400;20.112719;361.699577;1.19567;1.641654
4450;23.38903;663.661865;2.000402;3.403203
4500;21.097059;368.642204;1.202201;1.648652
4550;20.854472;374.824883;1.189139;1.686907
4600;21.644276;370.335175;1.208265;1.729358
4650;21.45254;371.647005;1.529226;2.075044
4700;21.707255;371.878396;1.17421;1.677109
4750;41.283952;387.240159;1.321161;1.756416
4800;22.3753;359.589078;1.509632;2.174411
4850;22.919719;361.708907;1.223193;1.64492
4900;22.833415;359.467319;1.18214;1.662181
4950;22.582898;358.241325;1.268912;1.748952
5000;22.952375;359.374016;1.25585;1.706966
5050;23.647011;365.637869;1.298769;1.653317
5100;23.506125;355.604601;1.187272;1.61553
5150;23.723986;357.391808;1.218529;1.642587
5200;24.094862;488.526378;1.177476;1.649585
5250;23.981967;358.405537;1.379475;1.622995
5300;24.761508;361.333365;1.177009;1.676177
5350;24.697129;364.253728;1.251184;1.657982
5400;24.452677;356.05292;1.191005;1.647719
5450;25.302194;369.738506;1.234856;1.608066
5500;25.767306;365.364959;1.187739;1.655184
5550;25.687534;474.103236;2.625994;2.578877
5600;54.012723;476.901374;2.211265;2.4086
5650;34.258286;388.075214;1.202667;1.595936
5700;26.648081;368.143036;1.193803;1.737756
5750;37.669886;372.942975;1.253051;1.622995
5800;28.082604;357.207536;1.247453;1.635123
5850;26.704995;564.85049;1.245586;2.025127
5900;53.806526;446.923332;0.948885;1.286639
5950;27.597432;372.927113;1.237189;1.609465
6000;29.247017;359.414136;1.200801;1.808199
6050;37.846694;360.965753;1.161614;1.649585
6100;28.910196;360.906041;1.246052;1.662181
6150;28.668076;358.54036;1.17421;1.622061
6200;30.586839;358.70877;1.179808;1.620195
6250;29.87121;363.25726;1.220861;1.77741
6300;31.252551;364.393215;1.190538;1.625327
6350;52.95934;373.70992;1.219928;1.592205
6400;30.939521;380.537319;1.67571;2.398337
6450;38.425635;371.527112;1.373411;1.648186
6500;33.701737;374.795493;1.218528;1.627193
6550;31.810965;360.656457;1.186339;1.615997
6600;31.936924;356.027728;1.19427;1.653784
6650;32.676345;383.195969;1.448052;1.629059
6700;33.152187;362.128768;1.218995;1.625326
6750;33.865016;360.442328;1.267979;1.630925
6800;34.019899;358.476447;1.298302;1.868845
6850;41.291883;403.839111;1.22366;1.621128
6900;36.237695;362.380218;1.217596;1.609932
6950;34.519532;358.015068;1.17421;1.627193
7000;35.074681;363.973355;1.190538;1.645853
7050;45.169994;403.478032;1.99667;2.438457
7100;49.740876;379.27727;1.201734;1.608999
7150;35.517868;364.793949;1.193804;1.64632
7200;38.204975;397.697951;1.246986;1.678042
7250;51.53508;379.144314;1.180741;1.639789
7300;36.895011;357.568616;1.175143;1.659382
7350;37.863954;360.345759;1.17421;1.612731
7400;37.833631;360.112971;1.199868;1.59687
7450;39.186516;358.166684;1.180275;1.589871
7500;38.86369;358.041659;1.168612;1.622061
7550;39.281218;356.185409;1.188205;1.650518
7600;39.337665;366.157563;1.190071;1.594536
7650;39.903078;355.649387;1.222727;1.65565
7700;40.050495;355.928827;1.186805;1.608999
7750;41.834436;357.901705;1.183074;1.632791
7800;41.590917;366.199549;1.18214;1.623461
7850;41.86336;357.22433;1.235323;1.595937
7900;42.732004;355.791673;1.213397;1.590338
7950;44.201982;358.036061;1.180742;1.637456
8000;43.30768;360.128365;1.184474;1.595004
8050;43.222309;355.617664;1.178875;1.697169
8100;44.153466;358.812802;1.360348;1.590805
8150;44.816845;357.339558;1.264247;1.61553
