arraySize;MergeSortWithSingleAuxiliaryArray;MergeSortNoMergeOnSorted;MergeSortJavaAPIVersion;QuickSortMidToExamine;QuickSortHoare;QuickSortCrescenzi
50000;47;61;72;59;64;151;
100000;42;50;17;46;48;47;
150000;65;68;25;61;70;70;
200000;88;89;34;83;86;94;
250000;115;114;41;104;112;123;
300000;139;144;50;127;133;147;
350000;163;178;58;150;158;176;
400000;186;189;67;171;179;200;
450000;215;215;75;194;203;228;
500000;237;247;83;215;230;251;
550000;260;268;93;244;249;285;
600000;289;305;102;263;278;306;
650000;312;319;118;295;302;340;
700000;347;360;120;312;326;357;
750000;364;371;130;335;356;384;
800000;389;411;139;362;379;409;
850000;419;429;148;381;400;436;
900000;448;452;159;410;424;471;
950000;483;493;171;437;464;496;
1000000;496;505;180;454;477;519;
1050000;540;524;187;482;506;551;
1100000;549;572;198;506;524;573;
1150000;575;591;209;523;547;596;
1200000;602;616;216;550;580;634;
1250000;641;665;252;620;603;662;
1300000;648;690;234;598;621;680;
1350000;676;716;243;620;651;711;
1400000;709;751;252;660;702;747;
1450000;762;817;284;713;726;830;
1500000;783;775;268;703;737;801;
1550000;794;814;291;724;753;824;
1600000;848;858;288;766;778;922;
1650000;840;857;297;786;813;880;
1700000;893;956;302;802;845;902;
1750000;931;921;323;823;860;942;
1800000;920;976;334;853;894;971;
1850000;936;962;330;877;917;994;
1900000;997;1142;340;911;939;1024;
1950000;999;1065;351;940;960;1048;
2000000;1039;1054;359;954;998;1091;
